,timestamp,duration,gazepointX,gazepointY,avg_distance,avg_pupil
0,113,239,667,262,819.019,3.8325
1,731,159,259,163,822.2819999999999,3.663
2,1030,139,452,787,812.1980000000001,3.793
3,1189,120,480,843,815.9845,3.7880000000000003
4,1349,120,361,352,814.444,3.7829999999999995
5,1588,179,207,334,791.367,3.6735
6,2386,239,604,485,819.8509999999999,3.897
7,2665,578,474,864,816.9784999999999,3.9125
8,3263,259,421,866,807.414,3.8409999999999997
9,3881,120,325,352,793.98,3.668
10,4479,160,372,622,804.5995,3.9475
11,4659,379,386,702,808.4975,3.9915000000000003
12,5376,279,621,439,815.169,3.9435
13,5875,179,431,820,808.0335,3.9130000000000003
14,6074,120,467,842,808.4845,3.9135
15,6274,120,577,493,816.344,3.9884999999999997
16,6792,100,613,445,813.6034999999999,3.7845
17,7171,100,604,431,806.8889999999999,3.7965
18,7370,120,595,413,804.048,3.8125
19,7669,179,479,643,814.541,3.877
20,7888,160,239,854,811.528,3.891
21,8068,179,349,959,807.513,3.8244999999999996
22,8467,140,416,704,813.4995000000001,3.898
23,8806,518,331,967,811.4175,3.7110000000000003
24,9364,159,315,429,805.0530000000001,3.8175
25,9543,120,190,280,807.274,3.773
26,9763,100,320,1028,807.075,3.8354999999999997
27,9882,658,325,992,793.2570000000001,3.729
28,10560,299,525,944,803.014,3.8085
29,10939,199,456,686,812.0445,3.8975
30,11158,159,436,679,811.215,3.8555
31,11477,100,874,731,812.0755,3.642
32,11597,219,1070,836,811.0345,3.5965
33,12095,100,749,310,813.657,3.6399999999999997
34,12614,140,1201,503,799.5409999999999,3.6865
35,13690,120,1222,519,781.3725,3.713
36,13890,837,1243,474,810.7529999999999,3.9170000000000003
37,14886,100,1064,460,817.9579999999999,4.09
38,15026,239,1081,492,816.8810000000001,3.99
39,15285,120,1066,469,815.7494999999999,3.9684999999999997
40,15425,339,1079,496,815.641,3.9485
41,15784,179,1214,500,811.9580000000001,3.8525
42,15983,399,1174,579,814.519,3.8674999999999997
43,16481,877,1094,794,799.1405,3.795
44,17379,239,1049,778,810.819,3.732
45,17638,179,1050,713,809.923,3.706
46,17837,120,1067,634,800.299,3.697
47,17977,379,1059,639,810.0520000000001,3.7385
48,18376,139,1140,647,811.2665000000001,3.649
49,18595,140,1141,705,812.115,3.654
50,18914,219,1127,734,817.4714999999999,3.7
51,19213,199,943,975,812.961,3.767
52,19452,239,703,961,802.0325,3.7785
53,19731,538,945,940,800.788,3.811
54,20290,877,951,957,804.1635,3.789
55,21187,798,1001,742,805.778,3.82
56,22024,140,1047,670,810.386,3.7225
57,22203,120,873,561,811.5205000000001,3.7525
58,22383,140,623,332,803.9549999999999,3.6045
59,23001,120,287,202,807.9545,3.456
60,23141,159,268,194,814.529,3.5045
61,23400,120,268,145,817.3734999999999,3.5235
62,23819,100,476,154,814.6555000000001,3.507
63,24596,219,643,162,810.759,3.7245
64,24835,139,564,242,809.5954999999999,3.6075
65,26091,100,181,314,797.0495000000001,3.6025
66,26231,100,156,311,781.8925,3.4835000000000003
67,26450,100,195,331,790.3145,3.5225
68,27208,179,318,245,811.6005,3.7065
69,28005,120,367,568,806.934,3.724
70,28584,100,121,277,773.508,3.526
71,29481,120,329,562,821.0,3.766
72,29620,199,365,567,804.0619999999999,3.7
73,29860,140,387,578,802.3355000000001,3.7485
74,30059,299,441,609,802.0364999999999,3.771
75,30378,219,445,661,801.8199999999999,3.792
76,30617,139,359,564,797.377,3.6825
77,30777,179,359,574,802.737,3.8955
78,30976,219,292,609,801.817,3.8454999999999995
79,31435,140,356,673,799.1975,3.7855
80,31754,439,982,708,801.9965,3.7089999999999996
81,32212,299,965,689,795.292,3.722
82,32790,100,371,599,804.004,3.5735
83,32910,160,408,594,804.25,3.5854999999999997
84,33189,279,448,632,798.5165,3.5525
85,33508,100,396,546,791.1685,3.5765000000000002
86,33628,100,401,541,779.9185,3.4985
87,33887,100,397,557,783.178,3.5780000000000003
88,34405,359,410,747,799.7645,3.7015000000000002
89,34864,100,287,500,779.8485000000001,3.537
90,35283,239,346,565,768.731,3.4535
91,35582,100,360,508,772.9525,3.497
92,35781,100,394,496,785.335,3.5495
93,35980,179,434,591,788.3365,3.535
94,36399,239,436,600,799.952,3.684
95,36658,120,436,626,798.9169999999999,3.601
96,36957,199,415,610,800.4254999999999,3.5439999999999996
97,37177,478,438,697,797.937,3.581
99,37894,159,412,642,798.0395000000001,3.6125
100,38333,180,426,656,795.3365000000001,3.7895000000000003
101,38772,359,432,652,801.7925,3.6395
102,39150,120,429,648,795.656,3.6675
103,39310,100,425,644,797.6445000000001,3.7030000000000003
104,39429,279,497,633,798.5550000000001,3.6905
105,39788,120,528,615,799.2155,3.699
106,40506,259,406,640,782.7280000000001,3.4669999999999996
107,40905,160,384,659,797.566,3.5895
108,41184,120,444,658,796.5129999999999,3.6265
109,41344,239,429,645,797.4835,3.5709999999999997
110,41683,319,367,597,795.03,3.49
111,42400,179,407,573,792.7950000000001,3.449
112,42600,160,402,559,786.905,3.4155
113,43038,140,383,660,795.2155,3.437
114,43218,120,432,649,798.0275,3.6180000000000003
115,43517,100,500,407,789.2755,3.5324999999999998
116,43676,100,933,671,789.26,3.5485
