,timestamp,duration,gazepointX,gazepointY,avg_distance,avg_pupil
0,56,100,769,318,809.7985,3.9130000000000003
1,2090,120,60,599,801.3695,3.7545
2,4642,120,165,201,798.262,3.6560000000000006
3,7274,120,678,612,798.869,3.7705
4,10962,120,783,711,799.534,3.7365000000000004
5,11321,120,769,725,801.3375000000001,3.8810000000000002
6,11939,140,144,674,799.5675,3.7215
7,13534,100,205,195,791.38,3.754
8,14710,120,758,645,798.4675,3.8125
9,16983,159,766,646,798.336,3.849
10,19635,100,764,680,796.896,3.716
11,20851,100,148,628,794.8039999999999,3.7350000000000003
12,22067,140,544,208,787.3175,3.6465
13,23662,100,440,196,786.028,3.8795
14,24181,120,615,203,787.832,3.8545
15,24918,100,112,200,784.4835,3.8415
16,27191,120,124,248,784.9075,3.666
17,27710,120,504,213,789.637,3.67
18,30262,100,80,209,788.3755000000001,3.9395
19,35406,120,142,711,787.9515,3.724
20,36422,120,126,684,789.4269999999999,3.6705
21,38815,100,178,694,787.9525000000001,3.8810000000000002
22,39832,339,108,699,786.8685,3.6345
23,42184,100,177,698,785.8515,3.9525
24,43580,179,249,692,789.0185,3.856
25,44338,160,181,664,785.6754999999999,3.826
26,45155,100,229,652,786.287,3.8775
27,45853,160,261,652,788.6045,3.7159999999999997
28,49561,100,221,702,784.5709999999999,3.8175
29,49940,120,192,673,787.0705,3.7954999999999997
30,55243,160,769,660,788.145,3.8745000000000003
31,56719,100,793,711,787.316,3.8085
32,57397,199,738,685,788.6320000000001,3.8495
33,58413,120,739,679,787.193,3.7794999999999996
34,61145,120,747,634,392.5175,1.3365
35,61723,139,783,673,788.7090000000001,3.6605
36,64335,120,810,699,788.2510000000001,3.6725
37,64913,140,728,751,786.0319999999999,3.6175
38,65531,120,776,768,788.9375,3.9465
39,67963,100,836,697,787.566,4.066
40,68263,100,903,693,787.46,4.143
41,68402,140,892,694,787.3900000000001,3.7035
42,68801,179,788,728,786.7359999999999,3.903
43,69479,100,772,724,787.0225,3.669
44,71313,120,760,674,789.7694999999999,3.6369999999999996
45,74064,120,792,766,785.7415,3.6094999999999997
46,74304,179,782,786,782.4645,3.9190000000000005
47,74702,100,822,765,787.578,3.831
48,85229,120,832,781,784.7415000000001,3.694
49,85528,100,905,760,782.778,3.8649999999999998
50,86226,140,1075,763,785.2385,3.6245
51,86426,120,764,755,780.7355,3.6305000000000005
52,86565,199,785,763,779.745,3.7105
53,87343,100,791,771,787.5364999999999,3.758
54,88140,100,787,776,785.4200000000001,3.5265000000000004
55,90473,100,215,719,781.942,3.593
56,93663,180,746,730,786.075,3.8135
57,94122,120,755,718,788.0250000000001,3.974
58,94301,100,738,737,781.9110000000001,3.777
59,94779,120,784,715,784.8375,3.784
60,95019,219,738,719,783.0450000000001,3.8689999999999998
61,96315,120,715,719,782.7215,3.694
62,98508,120,788,838,784.5345,3.811
63,98667,160,793,813,781.638,3.758
64,99265,120,787,783,782.904,3.66
65,99405,179,772,795,783.994,3.6515
66,99963,100,808,807,783.629,3.7065
67,100462,159,802,774,785.8760000000001,3.7735000000000003
68,101060,100,780,758,784.757,3.761
69,101239,139,775,786,784.5815,3.919
70,102116,120,791,765,781.7525,3.8064999999999998
71,102555,159,789,723,781.8355000000001,3.715
72,104928,100,744,678,781.354,3.6094999999999997
73,106443,159,775,735,781.384,3.6555
74,109553,140,666,214,778.3865,3.614
75,111846,100,80,236,775.7935,3.5665
76,112165,140,254,236,775.884,3.5810000000000004
77,113521,120,514,219,778.5525,3.473
78,113820,100,291,223,775.5045,3.6159999999999997
79,114039,100,299,216,777.075,3.6425
80,115694,100,223,731,778.6195,3.742
81,121695,100,257,693,778.6175000000001,3.6235
82,123549,100,720,731,781.646,4.0525
83,124745,180,749,726,778.1285,3.744
84,125164,120,827,756,778.748,3.9524999999999997
85,125982,140,738,719,779.2594999999999,3.8209999999999997
86,127078,140,758,754,776.073,3.587
87,127557,100,841,756,779.096,3.6695
88,128733,139,756,738,777.6965,3.7815000000000003
89,129192,160,735,715,779.4145000000001,3.7115
90,135950,100,144,650,386.0585,1.2619999999999998
91,137167,100,186,719,773.1345,3.753
92,138263,120,195,733,775.6324999999999,3.8735
93,139220,100,198,777,778.0735,3.684
94,139439,100,205,754,776.13,3.6925
95,141513,199,304,213,772.6329999999999,3.622
96,141912,160,113,231,768.85,3.6340000000000003
97,144384,160,187,705,776.7764999999999,3.802
98,146258,120,192,730,775.996,3.895
99,147454,100,194,685,774.405,3.8954999999999997
100,149249,100,159,730,775.5295000000001,3.644
101,149747,100,92,639,773.387,3.9284999999999997
102,150585,100,196,687,773.627,3.8085
103,155509,120,105,681,773.8095000000001,3.7344999999999997
104,156865,140,141,696,771.7429999999999,3.775
105,158280,100,123,761,774.981,3.662
106,159676,159,165,727,774.7905,3.7265
107,160832,100,201,760,774.097,3.7824999999999998
108,161809,100,159,729,776.0135,3.7555
109,163065,100,284,793,779.005,3.9429999999999996
110,163564,100,233,794,769.6034999999999,3.7455
111,164939,140,224,815,775.1424999999999,3.9179999999999997
112,166056,219,281,825,780.231,3.7575
113,166315,100,279,830,778.861,3.813
114,167432,160,216,830,775.6585,3.8095
115,168110,100,288,834,771.5639999999999,3.542
116,168508,100,196,766,777.6889999999999,3.7245
117,168628,140,186,767,779.2255,3.8275
118,168887,179,212,783,775.999,3.8815
119,169186,179,284,781,772.0615,3.8125
120,169485,100,286,772,776.296,3.7640000000000002
121,169824,140,262,798,770.614,3.7859999999999996
122,170502,100,231,766,771.5935,3.7860000000000005
123,171399,160,180,742,774.8605,3.664
124,172536,120,294,786,776.1959999999999,3.899
125,173832,100,305,778,782.9205,3.84
126,175526,100,721,782,776.7885000000001,4.038
127,176244,140,790,812,774.019,3.794
128,180531,100,771,811,775.7535,3.8469999999999995
129,181328,120,816,841,780.5445,3.8
130,181807,179,793,833,776.484,4.0265
131,182006,319,835,839,776.0409999999999,4.0655
132,182823,160,798,833,773.363,3.7545
133,183441,100,734,815,779.582,3.7815000000000003
134,183721,120,752,829,774.3295,3.7365
135,184099,100,752,797,774.4775,3.8395
136,184299,100,806,795,774.039,3.8949999999999996
137,184558,339,771,800,773.271,3.6950000000000003
138,185316,100,847,792,780.9190000000001,3.7969999999999997
139,185794,100,754,864,773.5375,3.8295000000000003
140,186432,100,820,830,773.4795,3.8355
141,187110,100,814,856,776.039,4.2265
142,187608,180,806,851,772.5989999999999,4.0815
143,187927,160,871,839,774.6034999999999,3.9165
144,188246,100,832,896,774.4475,3.832
145,188406,179,825,879,773.6015,4.002
146,189502,239,829,805,779.3795,3.8445
147,190559,120,833,869,774.1289999999999,3.814
148,190898,100,830,866,776.4065,3.8339999999999996
149,192194,100,218,811,777.3815,3.71
150,192832,219,259,791,775.191,3.8635
151,194287,120,89,299,767.243,3.543
152,195205,100,304,226,769.807,3.7380000000000004
153,195643,120,78,224,768.4325,3.6615
154,196241,100,118,236,768.9025,3.86
155,196620,140,307,219,769.3115,3.7165
156,196820,100,280,237,769.9005,3.7409999999999997
157,197278,180,793,790,776.4095,3.9975000000000005
158,198096,120,769,724,773.039,3.7675
159,199611,100,871,831,774.512,3.7325
160,200069,120,858,830,774.991,3.806
161,200528,219,834,867,774.3675000000001,3.6155
162,200987,100,833,889,777.6009999999999,3.738
163,201664,100,804,872,775.0989999999999,3.934
164,202183,100,787,848,772.0730000000001,3.786
165,202661,140,803,887,772.3045,3.8005000000000004
166,203000,100,790,872,773.7785000000001,3.7535
167,203219,180,834,901,770.7514999999999,3.8095000000000003
168,203499,100,835,899,777.9159999999999,3.8874999999999997
169,203638,140,802,903,772.22,3.7954999999999997
170,203877,120,862,900,773.038,3.8770000000000002
171,204256,120,832,905,771.9235,3.7664999999999997
172,204575,120,803,891,773.1880000000001,3.6795
173,205413,120,867,936,777.642,3.856
174,205911,140,798,910,773.865,3.8735000000000004
175,206549,100,894,918,779.059,3.991
176,207307,140,794,904,774.245,3.8164999999999996
177,207685,180,820,903,771.5675,3.9245
178,208443,100,855,929,773.341,3.9299999999999997
179,208702,120,827,919,771.6275,3.9325
180,210935,140,775,843,768.235,3.8315
181,211135,239,776,889,766.525,3.7439999999999998
182,211394,219,758,879,767.8865000000001,3.7359999999999998
183,211773,140,773,857,768.5255,3.8235
184,211932,100,773,877,770.7745,3.763
185,212132,120,763,865,768.312,3.7859999999999996
186,212351,100,816,866,770.445,3.7935
187,212989,139,747,830,769.718,3.84
188,213188,179,778,854,767.1645,3.7844999999999995
189,213388,319,818,844,771.5205,3.8440000000000003
190,213727,299,876,852,770.533,3.7904999999999998
191,215661,259,777,750,772.473,3.8125
192,216338,279,755,801,769.701,3.8655
193,216757,120,783,854,768.405,3.7485
194,217136,199,781,809,770.8095000000001,3.7885
195,217674,299,892,801,767.9024999999999,3.651
196,218033,100,761,793,771.8539999999999,3.806
197,218153,120,755,782,770.0074999999999,3.676
198,218651,120,789,799,769.9989999999999,3.768
199,218831,120,842,797,382.55,1.318
200,219030,100,801,828,769.5325,3.6630000000000003
201,219369,100,764,822,767.5484999999999,3.6805000000000003
202,220505,100,770,828,769.6489999999999,3.6770000000000005
203,221004,179,817,871,770.098,3.8275
204,221921,100,746,793,767.4380000000001,3.718
205,222340,159,776,760,770.4395,3.7735
206,223536,100,812,789,768.7275,3.7
207,224194,140,759,771,769.4794999999999,3.9734999999999996
208,224832,140,820,769,769.5045,3.7785
209,225390,219,890,768,767.7,3.855
210,225709,159,937,761,773.196,3.64
211,226387,100,827,812,769.934,3.875
212,226606,100,851,831,771.808,3.7475
213,226945,120,822,792,771.1700000000001,3.665
214,227204,100,818,789,768.4655,3.749
215,228042,159,835,776,769.21,3.6635
216,228441,120,878,811,766.0550000000001,3.6075
217,229098,299,772,802,769.9694999999999,3.7785
218,229537,120,770,823,768.3175,3.668
219,229936,120,850,833,767.614,3.6955
220,230334,120,852,862,765.2669999999999,3.6865
221,231192,179,783,818,766.274,3.7584999999999997
222,231969,100,855,852,763.5505,3.978
223,232308,239,753,841,767.6590000000001,3.6775
224,232587,100,758,830,766.1175000000001,3.8064999999999998
225,232707,140,746,847,767.028,3.8085000000000004
226,232926,120,751,830,769.338,3.776
227,233206,139,807,870,766.688,3.6535
228,233465,179,837,903,768.713,3.9455
229,233684,159,793,903,766.0939999999999,3.7634999999999996
230,233923,140,773,873,770.059,3.7585
231,234382,120,767,904,765.9535,3.7075
232,234860,179,844,925,767.3435,3.8324999999999996
233,235458,219,834,919,767.8505,3.9480000000000004
234,236216,179,775,905,765.1955,3.8305
235,236455,100,771,929,766.7025,3.8214999999999995
236,237392,160,773,843,772.707,3.7725
