participant,tree total fixations, tree sum fixation duration,tree mean fixation duration,tree total saccades ,tree sum saccade length,tree mean saccade length , tree sum saccade duration,tree mean saccade duration,tree scanpath        ,tree convex hull,tree left mouse clicks,tree time on task,graph total fixations, graph sum fixation duration,graph mean fixation duration,graph total saccades ,graph sum saccade length,graph mean saccade length , graph sum saccade duration,graph mean saccade duration,graph scanpath        ,graph convex hull,graph left mouse clicks,graph time on task
p1,2647,402613,152.101624,2646,425894.3592,160.957808,1125335,425.296674,1527948,956960,606,26,2422,357453,147.585879,2421,334228.4466,138.053881,1927822,796.291615,2285275,921035.5,984,38
p2,1166,174485,149.644082,1165,178873.1484,153.539183,924729,793.758798,1099214,815076,371,25,2581,414829,160.724138,2580,324201.0007,125.659303,1149467,445.529845,1564296,1210905.5,416,19
p3,1564,515632,329.68798,1563,211030.4672,135.016294,112439,71.93794,628071,1104547.5,173,10,7967,2462609,309.101167,7966,976608.4631,122.597096,553672,69.504394,3016281,1186442.5,891,27
p4,605,112708,186.294215,604,137502.7115,227.653496,610564,1010.86755,723272,994184,254,9,590,94984,160.989831,589,121734.7041,206.680313,452559,768.351443,547543,855221,235,12
p5,2445,498604,203.928016,2444,308060.1424,126.047521,815417,333.640344,1314021,970325,314,15,1604,274515,171.144015,1603,210346.1376,131.220298,1350291,842.352464,1624806,947374,601,33
p6,4297,852711,198.443333,4296,549868.3146,127.995418,686603,159.82379,1539314,1032424,411,43,6752,1355507,200.756368,6751,714182.6459,105.789164,1263480,187.154496,2618987,963960.5,667,26
p7,2711,673240,248.336407,2710,329796.1187,121.695985,333584,123.093727,1006824,917215,364,9,2467,559282,226.70531,2466,263107.5563,106.694062,646498,262.164639,1205780,1508083,377,13
p10,2131,365198,171.374003,2130,351797.1615,165.162987,650856,305.566197,1016054,973706,366,29,4928,1097945,222.797281,4927,594968.6632,120.756782,640565,130.011163,1738510,1086817,550,17
p11,1152,165166,143.373264,1151,186921.1625,162.398925,771717,670.475239,936883,818782,304,14,3657,579093,158.351928,3656,518608.3566,141.851301,1404627,384.197757,1983720,1058110.5,830,72
p12,2333,453578,194.418345,2332,280861.8184,120.438173,520548,223.219554,974126,1772132,283,11,1132,205727,181.737633,1131,128494.936,113.611791,459508,406.284704,665235,822244,240,17
p13,5491,1614999,294.117465,5490,936609.9483,170.602905,477621,86.998361,2092620,1267308,401,35,5025,1308141,260.326567,5024,723360.901,143.981071,361325,71.919785,1669466,1121176,613,27
p14,2234,533086,238.623993,2233,291355.8601,130.477322,391157,175.17107,924243,938484.5,254,28,3580,1249404,348.995531,3579,343056.294,95.852555,401001,112.042749,1650405,1274734.5,412,15
p15,1007,176760,175.531281,1006,136636.4574,135.821528,340539,338.507952,517299,850107.5,130,9,1158,188193,162.515544,1157,138931.1105,120.078747,595330,514.54624,783523,839936,197,13
p16,4840,1256923,259.694835,4839,712853.245,147.314165,411047,84.944617,1667970,1082972,544,29,3823,1437298,375.960764,3822,508050.9619,132.928038,317700,83.124019,1754998,994429,226,28
p17,1347,357818,265.640683,1346,174723.6423,129.809541,473116,351.497771,830934,940102.5,313,14,3345,904390,270.370703,3344,339987.5702,101.670924,420117,125.633074,1324507,972932,534,22
p18,2485,443866,178.618109,2484,439638.3117,176.988048,799377,321.810386,1243243,1090634.5,440,27,3559,651412,183.032312,3558,524393.228,147.384269,964344,271.035413,1615756,1059399,590,21
p19,1847,362232,196.119112,1846,225869.1224,122.355971,435727,236.038462,797959,1097794.5,242,14,11294,2926768,259.143616,11293,1492083.296,132.124617,1402559,124.197202,4329327,1141067,1010,72
p20,4349,1068897,245.779949,4348,486544.5795,111.900777,786846,180.967341,1855743,1103536,483,23,468,99006,211.551282,467,45009.89231,96.380926,481196,1030.398287,580202,602170,621,30
p21,2262,672829,297.448718,2261,323198.0951,142.944757,251991,111.451128,924820,1250976,356,16,1000,303950,303.95,999,121749.2921,121.871163,59271,59.33033,363221,896036,171,6
p23,1824,604093,331.191338,1823,248624.0404,136.38181,168924,92.662644,773017,658381.5,448,13,8908,2148624,241.201617,8907,1045774.96,117.410459,1352222,151.815651,3500846,1132215,1593,58
p24,2522,352379,139.722046,2521,427496.4565,169.57416,1610727,638.92384,1963106,1114712,558,25,1834,258910,141.172301,1833,279982.2688,152.745373,1217362,664.136388,1476272,917734,629,32
p25,4788,1565245,326.909983,4787,875934.6491,182.981961,459428,95.974097,2024673,1043844.5,575,34,5772,1615332,279.856549,5771,811677.1499,140.647574,768854,133.22717,2384186,1082575,1113,39
p27,1614,567699,351.734201,1613,257950.2515,159.919561,202986,125.843769,770685,1000468.5,240,13,3568,899321,252.05185,3567,449181.2381,125.926896,2011514,563.923185,2910835,1107568,1043,50
p28,1023,207278,202.617791,1022,174510.7432,170.754152,378126,369.986301,585404,1311683,153,13,1849,371402,200.866414,1848,223016.4661,120.679906,397329,215.00487,768731,1088292,187,10
p30,3895,867342,222.680873,3894,567952.5146,145.853239,551112,141.528505,1418454,1420644.5,354,32,5093,1506290,295.756921,5092,596143.494,117.074527,424518,83.369599,1930808,1194569.5,486,23
p31,410,56019,136.631707,409,87992.1536,215.13974,834629,2040.657702,890648,572303,224,14,4210,681018,161.761995,4209,603219.4192,143.316564,1955079,464.499644,2636097,1751212,663,44
p32,3130,1124668,359.31885,3129,425933.7648,136.124565,141422,45.197188,1266090,1210312,424,12,1735,597500,344.380403,1734,209846.5179,121.018753,97481,56.217416,694981,958592,253,21
p33,2849,570506,200.247806,2848,350796.1559,123.172808,512200,179.845506,1082706,1116069,289,22,2340,350630,149.84188,2339,321753.7826,137.560403,1255795,536.893972,1606425,1080310,544,27
p34,5707,1140145,199.780095,5706,917590.0683,160.811439,1163235,203.861725,2303380,968778,655,49,6902,1502960,217.757172,6901,985287.8259,142.774645,1419637,205.714679,2922597,1003577.5,1001,38
p35,1018,227707,223.680747,1017,123873.3227,121.802677,298862,293.866273,526569,711206.5,145,9,3763,800892,212.833378,3762,379906.5006,100.985247,1476111,392.374003,2277003,1142626.5,776,37
p36,3486,889052,255.034997,3485,411874.2506,118.184864,374985,107.599713,1264037,1086770.5,262,15,2183,766606,351.170866,2182,235300.4775,107.837066,168801,77.360678,935407,809589,170,21
