,timestamp,distance(L),pupil(L),distance(R),pupil(R),duration,gazepointX,gazepointY,avg_distance,avg_pupil
0,99,682.845,4.7780000000000005,677.576,4.51,120,674,352,680.2105,4.644
1,238,680.825,4.59,675.405,4.538,140,685,365,678.115,4.564
2,398,681.554,4.668,675.243,4.493,319,675,374,678.3985,4.580500000000001
3,1155,680.498,4.317,676.056,4.082,100,501,156,678.277,4.1995000000000005
4,1275,678.038,4.189,673.5980000000001,4.178,100,493,159,675.818,4.1835
5,1534,653.755,4.191,636.34,4.02,140,565,135,645.0475,4.105499999999999
6,1993,619.9259999999999,4.612,605.6,4.294,179,313,156,612.7629999999999,4.452999999999999
7,2491,574.836,4.5360000000000005,563.016,4.427,120,263,187,568.9259999999999,4.4815000000000005
8,8811,553.623,3.8289999999999997,539.356,3.4819999999999998,180,567,219,546.4895,3.6555
9,9011,-1.0,-1.0,540.624,3.6710000000000003,139,488,225,269.812,1.3355000000000001
10,10426,551.7230000000001,4.126,547.6990000000001,3.863,339,517,172,549.711,3.9945000000000004
11,10825,553.599,4.249,548.627,3.822,140,247,193,551.113,4.0355
12,10985,550.019,3.985,542.3530000000001,3.7769999999999997,140,153,183,546.186,3.881
13,11742,556.355,4.357,546.363,4.016,199,744,214,551.359,4.1865000000000006
14,12201,560.5169999999999,4.172,553.0319999999999,4.074,120,470,168,556.7745,4.122999999999999
15,13078,548.116,4.435,548.244,4.148,239,246,175,548.1800000000001,4.291499999999999
16,14254,553.956,4.024,549.56,3.8560000000000003,239,781,186,551.758,3.9400000000000004
17,16667,556.195,3.91,550.4780000000001,3.721,180,712,215,553.3365000000001,3.8155
18,17125,555.6569999999999,4.195,542.887,3.917,120,657,235,549.2719999999999,4.056
19,19039,549.869,4.113,-1.0,-1.0,180,455,602,274.4345,1.5565000000000002
20,24841,-1.0,-1.0,547.119,4.417,100,533,526,273.0595,1.7085
21,24981,542.203,4.352,545.644,4.293,100,551,503,543.9235,4.3225
22,26556,543.59,3.904,546.872,3.9160000000000004,100,1147,770,545.231,3.91
23,27852,560.547,3.8289999999999997,553.349,3.609,140,462,149,556.9480000000001,3.719
24,29586,-1.0,-1.0,563.673,4.338,120,382,664,281.3365,1.669
25,30384,580.6030000000001,3.761,583.1,3.65,160,652,209,581.8515,3.7055
26,30623,576.359,3.825,557.38,3.722,179,739,224,566.8695,3.7735000000000003
27,30822,579.955,3.8989999999999996,568.539,3.665,140,775,217,574.2470000000001,3.782
28,31042,578.862,3.7260000000000004,543.682,3.395,239,671,270,561.2719999999999,3.5605
29,32677,578.414,3.813,571.274,3.7430000000000003,140,418,120,574.844,3.7780000000000005
30,34132,577.425,4.697,577.439,4.106,120,367,642,577.432,4.4015
31,35408,584.145,4.181,578.703,4.2780000000000005,239,481,654,581.424,4.2295
32,37302,588.125,4.199,-1.0,-1.0,160,501,713,293.5625,1.5995
33,39077,575.096,4.022,538.4,3.484,259,466,248,556.748,3.753
34,39615,559.774,3.9739999999999998,525.995,3.554,140,333,755,542.8845,3.764
35,40751,578.863,3.95,582.936,3.935,100,430,629,580.8995,3.9425
36,41090,582.749,3.9989999999999997,582.325,3.977,120,419,659,582.537,3.9879999999999995
