,timestamp,distance(L),pupil(L),distance(R),pupil(R),duration,gazepointX,gazepointY,avg_distance,avg_pupil
0,344,885.835,4.0169999999999995,882.503,3.656,120,197,205,884.1690000000001,3.8365
1,2377,870.318,3.946,873.919,3.839,419,12,546,872.1185,3.8925
2,2816,868.373,4.019,872.323,3.855,180,2,550,870.348,3.9370000000000003
3,3414,870.2189999999999,4.055,870.503,3.9539999999999997,100,80,589,870.361,4.0045
4,3553,873.939,4.125,869.927,3.952,379,67,591,871.933,4.0385
5,4550,881.817,4.159,876.2869999999999,3.845,140,682,551,879.0519999999999,4.002
6,4849,879.077,4.13,877.862,3.773,100,652,536,878.4694999999999,3.9515000000000002
7,5308,884.659,3.949,873.793,3.582,100,655,528,879.226,3.7655
8,5607,884.2139999999999,3.903,872.5269999999999,3.565,120,729,573,878.3705,3.734
9,6145,878.196,3.9330000000000003,875.997,3.592,100,502,203,877.0965,3.7625
10,7102,876.993,3.926,862.578,3.542,179,250,203,869.7855,3.734
11,8239,873.54,3.8560000000000003,874.5269999999999,3.839,100,45,570,874.0335,3.8475
12,9156,873.503,4.001,873.336,3.7230000000000003,100,61,645,873.4195,3.862
13,9475,870.19,3.992,869.8639999999999,3.735,179,77,647,870.027,3.8635
14,9814,870.669,4.059,869.222,3.781,120,73,638,869.9455,3.92
15,10272,884.6519999999999,4.14,875.033,3.824,120,727,562,879.8425,3.9819999999999998
16,10552,885.9960000000001,4.053,875.9110000000001,3.636,100,694,532,880.9535000000001,3.8445
17,11210,875.3430000000001,3.7680000000000002,-1.0,-1.0,120,53,222,437.17150000000004,1.3840000000000001
18,13263,871.5889999999999,3.912,873.423,3.673,100,81,638,872.506,3.7925
19,15037,-1.0,-1.0,866.573,3.94,100,41,651,432.7865,1.47
20,15496,861.459,4.03,869.294,3.8169999999999997,120,87,660,865.3765,3.9234999999999998
21,15636,864.013,4.053999999999999,869.3789999999999,3.891,179,104,671,866.6959999999999,3.9724999999999997
22,15835,863.596,4.093999999999999,868.194,3.928,140,95,650,865.895,4.010999999999999
23,16134,867.443,4.0569999999999995,869.309,3.8789999999999996,120,65,638,868.376,3.9679999999999995
24,16333,871.495,4.093,867.06,3.773,100,72,623,869.2774999999999,3.933
25,16872,875.7860000000001,3.935,865.432,3.755,140,77,619,870.609,3.8449999999999998
26,17649,866.69,3.989,867.86,3.6439999999999997,159,35,595,867.2750000000001,3.8164999999999996
27,17948,872.04,3.932,868.868,3.858,160,55,555,870.454,3.895
28,18228,872.423,4.035,866.202,3.778,120,89,612,869.3125,3.9065000000000003
29,18467,873.02,4.033,865.078,3.823,140,103,610,869.049,3.928
30,19204,867.143,4.01,868.0210000000001,3.835,179,92,613,867.5820000000001,3.9225
31,21717,863.6080000000001,3.846,868.0419999999999,3.7060000000000004,120,91,620,865.825,3.7760000000000002
32,21916,864.477,3.977,869.008,3.799,180,467,859,866.7425000000001,3.888
33,22235,865.547,3.9389999999999996,870.062,3.7769999999999997,100,466,848,867.8045,3.8579999999999997
34,22913,872.7280000000001,3.946,869.077,3.568,140,447,766,870.9025,3.757
35,23312,858.1160000000001,3.965,862.798,3.677,140,436,767,860.4570000000001,3.8209999999999997
36,23531,876.7710000000001,4.172,861.821,3.603,120,457,765,869.296,3.8875
37,23969,877.043,3.807,867.918,3.572,120,498,763,872.4805,3.6895
38,25365,887.709,3.7680000000000002,874.607,3.468,120,711,532,881.1579999999999,3.6180000000000003
39,25704,874.187,3.8089999999999997,872.319,3.532,140,731,643,873.2529999999999,3.6704999999999997
40,25963,881.113,3.963,872.939,3.614,279,736,620,877.0260000000001,3.7885
41,26262,876.682,3.917,876.2460000000001,3.628,120,761,588,876.464,3.7725
42,26522,881.6419999999999,3.918,875.56,3.5660000000000003,159,733,561,878.6009999999999,3.742
43,26701,875.573,3.89,871.0319999999999,3.589,120,758,613,873.3025,3.7395
44,27319,882.056,3.895,872.96,3.4939999999999998,219,764,645,877.508,3.6944999999999997
45,28017,880.74,4.053,871.687,3.594,120,716,619,876.2135000000001,3.8235
46,28894,883.471,3.9419999999999997,873.5980000000001,3.702,120,819,684,878.5345,3.822
47,29034,882.414,3.924,873.6,3.687,199,790,705,878.0070000000001,3.8055
48,29253,868.2230000000001,3.9189999999999996,874.1160000000001,3.6630000000000003,140,797,729,871.1695000000001,3.791
49,29452,868.176,3.912,872.2180000000001,3.5980000000000003,140,773,711,870.1970000000001,3.755
50,29931,864.9119999999999,3.759,869.013,3.533,199,785,727,866.9625,3.646
51,30290,881.696,3.918,871.562,3.613,100,745,597,876.629,3.7655000000000003
52,30489,882.189,3.91,873.2130000000001,3.588,100,751,618,877.701,3.749
53,31127,881.307,3.8789999999999996,872.743,3.4789999999999996,140,759,635,877.0250000000001,3.6789999999999994
